"55","活力","自己的攻击变高，但命中率会降低。"
"56","迷人之躯","有时会让接触到自己的对手着迷。"
"57","正电","出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。"
"58","负电","出场的伙伴之间如果有正电或负电特性的宝可梦，自己的特攻会提高。"
"59","阴晴不定","受天气的影响，会变为水属性、火属性或冰属性中的某一个。"
"60","黏着","因为道具是粘在黏性身体上的，所以不会被对手夺走。"
"61","蜕皮","通过蜕去身上的皮，有时会治愈异常状态。"
"62","毅力","如果变为异常状态，会拿出毅力，攻击会提高。"
"63","神奇鳞片","如果变为异常状态，神奇鳞片会发生反应，防御会提高。"
"64","污泥浆","吸收了污泥浆的对手会因强烈的恶臭而受到伤害，减少ＨＰ。"
"65","茂盛","ＨＰ减少的时候，草属性的招式威力会提高。"
"66","猛火","ＨＰ减少的时候，火属性的招式威力会提高。"
"67","激流","ＨＰ减少的时候，水属性的招式威力会提高。"
"68","虫之预感","ＨＰ减少的时候，虫属性的招式威力会提高。"
"69","坚硬脑袋","即使使出会受反作用力伤害的招式，ＨＰ也不会减少。"
"70","日照","出场时，会将天气变为晴朗。"
"71","沙穴","在战斗中让对手无法逃走。"
"72","干劲","通过激发出干劲，不会变为睡眠状态。"
"73","白色烟雾","被白色烟雾保护着，不会被对手降低能力。"
"74","瑜伽之力","因瑜伽的力量，物理攻击的威力会变为２倍。"
"75","硬壳盔甲","被坚硬的壳保护着，对手的攻击不会击中要害。"
"76","气闸","所有天气的影响都会消失。"
"77","蹒跚","在混乱状态时，闪避率会提高。"
"78","电气引擎","受到电属性的招式攻击时，不会受到伤害，而是速度会提高。"
"79","斗争心","面对性别相同的对手，会燃起斗争心，变得更强。而面对性别不同的，则会变弱。"
"80","不屈之心","每次畏缩时，不屈之心就会燃起，速度也会提高。"
"81","雪隐","冰雹天气时，闪避率会提高。"
"82","贪吃鬼","原本ＨＰ变得很少时才会吃树果，在ＨＰ还有一半时就会把它吃掉。"
"83","愤怒穴位","要害被击中时，会大发雷霆，攻击力变为最大。"
"84","轻装","失去所持有的道具时，速度会提高。"
"85","耐热","耐热的体质会让火属性的招式威力减半。"
"86","单纯","能力变化会变为平时的２倍。"
"87","干燥皮肤","下雨天气时和受到水属性的招式时，ＨＰ会回复。晴朗天气时和受到火属性的招式时，ＨＰ会减少。"
"88","下载","比较对手的防御和特防，根据较低的那项能力相应地提高自己的攻击或特攻。"
"89","铁拳","使用拳类招式的威力会提高。"
"90","毒疗","变为中毒状态时，ＨＰ不会减少，反而会增加起来。"
"91","适应力","与自身同属性的招式威力会提高。"
"92","连续攻击","如果使用连续招式，总是能使出最高次数。"
"93","湿润之躯","下雨天气时，异常状态会治愈。"
"94","太阳之力","晴朗天气时，特攻会提高，而每回合ＨＰ会减少。"
"95","飞毛腿","变为异常状态时，速度会提高。"
"96","一般皮肤","无论是什么属性的招式，全部会变为一般属性。威力会少量提高。"
"97","狙击手","击中要害时，威力会变得更强。"
"98","魔法防守","不会受到攻击以外的伤害。"
"99","无防守","由于无防守战术，双方使出的招式都必定会击中。"
"100","慢出","使出招式的顺序必定会变为最后。"
"101","技术高手","攻击时可以将低威力招式的威力提高。"
"102","叶子防守","晴朗天气时，不会变为异常状态。"
"103","笨拙","无法使用持有的道具。"
"104","破格","可以不受对手特性的干扰，向对手使出招式。"
"105","超幸运","因为拥有超幸运，攻击容易击中对手的要害。"
"106","引爆","变为濒死时，会对接触到自己的对手造成伤害。"
"107","危险预知","可以察觉到对手拥有的危险招式。"
"108","预知梦","出场时，只读取１个对手拥有的招式。"
"109","纯朴","可以无视对手能力的变化，进行攻击。"
"110","有色眼镜","可以将效果不好的招式以通常的威力使出。"
"111","过滤","受到效果绝佳的攻击时，可以减弱其威力。"
"112","慢启动","在５回合内，攻击和速度减半。"
"113","胆量","一般属性和格斗属性的招式可以击中幽灵属性的宝可梦。"
"114","引水","将水属性的招式引到自己身上，不会受到伤害，而是会提高特攻。"
"115","冰冻之躯","冰雹天气时，会缓缓回复ＨＰ。"
"116","坚硬岩石","受到效果绝佳的攻击时，可以减弱其威力。"
"117","降雪","出场时，会将天气变为冰雹。"
"118","采蜜","战斗结束时，有时候会捡来甜甜蜜。"
"119","察觉","出场时，可以察觉对手的持有物。"
"120","舍身","自己会因反作用力受伤的招式，其威力会提高。"
"121","多属性","自己的属性会根据持有的石板或Ｚ纯晶的属性而改变。"
"122","花之礼","晴朗天气时，自己与同伴的攻击和特防能力会提高。"
"123","梦魇","给予睡眠状态的对手伤害。"
"124","顺手牵羊","盗取接触到自己的对手的道具。"
"125","强行","招式的追加效果消失，但因此能以更高的威力使出招式。"
"126","唱反调","能力的变化发生逆转，原本提高时会降低，而原本降低时会提高。"
"127","紧张感","让对手紧张，使其无法食用树果。"
"128","不服输","能力被降低时，攻击会大幅提高。"
"129","软弱","ＨＰ减半时，会变得软弱，攻击和特攻会减半。"
"130","诅咒之躯","受到攻击时，有时会把对手的招式变为定身法状态。"
"131","治愈之心","有时会治愈异常状态的同伴。"
"132","友情防守","可以减少我方的伤害。"
"133","碎裂铠甲","如果因物理招式受到伤害，防御会降低，速度会大幅提高。"
"134","重金属","自身的重量会变为２倍。"
"135","轻金属","自身的重量会减半。"
"136","多重鳞片","ＨＰ全满时，受到的伤害会变少。"
"137","中毒激升","变为中毒状态时，物理招式的威力会提高。"
"138","受热激升","变为灼伤状态时，特殊招式的威力会提高。"
"139","收获","可以多次制作出已被使用掉的树果。"
"140","心灵感应","读取我方的攻击，并闪避其招式伤害。"
"141","心情不定","每一回合，能力中的某项会大幅提高，而某项会降低。"
"142","防尘","不会受到沙暴或冰雹等的伤害。不会受到粉末类招式的攻击。"
"143","毒手","只通过接触就有可能让对手变为中毒状态。"
"144","再生力","退回同行队伍后，ＨＰ会少量回复。"
"145","健壮胸肌","不会受到防御降低的效果。"
"146","拨沙","沙暴天气时，速度会提高。"
"147","奇迹皮肤","成为不易受到变化招式攻击的身体。"
"148","分析","如果在最后使出招式，招式的威力会提高。"
"149","幻觉","假扮成同行队伍中的最后一个宝可梦出场，迷惑对手。"
"150","变身者","变身为当前面对的宝可梦。"
"151","穿透","可以穿透对手的壁障或替身进行攻击。"
"152","木乃伊","被对手接触到后，会将对手变为木乃伊。"
"153","自信过度","如果打倒对手，就会充满自信，攻击会提高。"
"154","正义之心","受到恶属性的招式攻击时，因为正义感，攻击会提高。"
"155","胆怯","受到恶属性、幽灵属性和虫属性的招式攻击时，会因胆怯而速度提高。"
"156","魔法镜","可以不受到由对手使出的变化招式影响，并将其反弹。"
"157","食草","受到草属性的招式攻击时，不会受到伤害，而是攻击会提高。"
"158","恶作剧之心","可以率先使出变化招式。"
"159","沙之力","沙暴天气时，岩石属性、地面属性和钢属性的招式威力会提高。"
"160","铁刺","用铁刺给予接触到自己的对手伤害。"
"161","达摩模式","ＨＰ变为一半以下时，样子会改变。"
"162","胜利之星","自己和同伴的命中率会提高。"
"163","涡轮火焰","可以不受对手特性的干扰，向对手使出招式。"
"164","兆级电压","可以不受对手特性的干扰，向对手使出招式。"
"165","芳香幕","可以防住向自己和同伴发出的心灵攻击。"
"166","花幕","我方的草属性宝可梦能力不会降低，也不会变为异常状态。"
"167","颊囊","无论是哪种树果，食用后，ＨＰ都会回复。"
"168","变幻自如","变为与自己使出的招式相同的属性。"
"169","毛皮大衣","对手给予的物理招式的伤害会减半。"
"170","魔术师","夺走被自己的招式击中的对手的道具。"
"171","防弹","可以防住对手的球和弹类招式。"
"172","好胜","如果能力被降低，特攻就会大幅提高。"
"173","强壮之颚","因为颚部强壮，啃咬类招式的威力会提高。"
"174","冰冻皮肤","一般属性的招式会变为冰属性。威力会少量提高。"
"175","甜幕","我方的宝可梦不会变为睡眠状态。"
"176","战斗切换","如果使出攻击招式，会变为刀剑形态，如果使出招式“王者盾牌”，会变为盾牌形态。"
"177","疾风之翼","ＨＰ全满时，飞行属性的招式可以率先使出。"
"178","超级发射器","波动和波导类招式的威力会提高。"
"179","草之毛皮","在青草场地时，防御会提高。"
"180","共生","同伴使用道具时，会把自己持有的道具传递给同伴。"
"181","硬爪","接触到对手的招式威力会提高。"
"182","妖精皮肤","一般属性的招式会变为妖精属性。威力会少量提高。"
"183","黏滑","对于用攻击接触到自己的对手，会降低其速度。"
"184","飞行皮肤","一般属性的招式会变为飞行属性。威力会少量提高。"
"185","亲子爱","亲子俩可以合计攻击２次。"
"186","暗黑气场","全体的恶属性招式变强。"
"187","妖精气场","全体的妖精属性招式变强。"
"188","气场破坏","让气场的效果发生逆转，降低威力。"
"189","始源之海","变为不会受到火属性攻击的天气。"
"190","终结之地","变为不会受到水属性攻击的天气。"
"191","德尔塔气流","变为令飞行属性的弱点消失的天气。"
"192","持久力","受到攻击时，防御会提高。"
"193","跃跃欲逃","ＨＰ变为一半时，会慌慌张张逃走，退回同行队伍中。"
"194","危险回避","ＨＰ变为一半时，为了回避危险，会退回到同行队伍中。"
"195","遇水凝固","受到水属性的招式攻击时，防御会大幅提高。"
"196","不仁不义","攻击中毒状态的对手时，必定会击中要害。"
"197","界限盾壳","ＨＰ变为一半时，壳会坏掉，变得有攻击性。"
"198","蹲守","可以对替换出场的对手以２倍的伤害进行攻击。"
"199","水泡","降低与自己相对的火属性招式的威力，不会灼伤。"
"200","钢能力者","钢属性的招式威力会提高。"
"201","怒火冲天","因对手的攻击ＨＰ变为一半时，特攻会提高。"
"202","拨雪","冰雹天气时，速度会提高。"
"203","远隔","可以不接触对手就使出所有的招式。"
"204","湿润之声","所有的声音的招式都变为水属性。"
"205","先行治疗","可以率先使出回复招式。"
"206","电气皮肤","一般属性的招式会变为电属性。威力会少量提高。"
"207","冲浪之尾","电气场地时，速度会变为２倍。"
"208","鱼群","ＨＰ多的时候会聚起来变强。ＨＰ剩余量变少时，群体会分崩离析。"
"209","画皮","通过画皮覆盖住身体，可以防住１次攻击。"
"210","牵绊变身","打倒对手时，与训练家的牵绊会增强，变为小智版甲贺忍蛙。飞水手里剑的招式威力会增强。"
"211","群聚变形","ＨＰ变为一半时，细胞们会赶来支援，变为完全体形态。"
"212","腐蚀","可以使钢属性和毒属性的宝可梦也陷入中毒状态。"
"213","绝对睡眠","总是半梦半醒的状态，绝对不会醒来。可以就这么睡着进行攻击。"
"214","女王的威严","向对手施加威慑力，使其无法对我方使出先制招式。"
"215","飞出的内在物","被对手打倒的时候，会给予对手相当于ＨＰ剩余量的伤害。"
"216","舞者","有谁使出跳舞招式时，自己也能就这么接着使出跳舞招式。"
"217","蓄电池","会提高我方的特殊招式的威力。"
"218","毛茸茸","会将对手所给予的接触类招式的伤害减半，但火属性招式的伤害会变为２倍。"
"219","鲜艳之躯","让对手吓一跳，使其无法对我方使出先制招式。"
"220","魂心","宝可梦每次变为濒死状态时，特攻会提高。"
"221","卷发","对于用攻击接触到自己的对手，会降低其速度。"
"222","接球手","继承被打倒的同伴的特性，变为相同的特性。"
"223","化学之力","继承被打倒的同伴的特性，变为相同的特性。"
"224","异兽提升","打倒对手的时候，自己最高的那项能力会提高。"
"225","ＡＲ系统","根据持有的存储碟，自己的属性会改变。"
"226","电气制造者","出场时，会布下电气场地。"
"227","精神制造者","出场时，会布下精神场地。"
"228","薄雾制造者","出场时，会布下薄雾场地。"
"229","青草制造者","出场时，会布下青草场地。"
"230","金属防护","不会因为对手的招式或特性而被降低能力。"
"231","幻影防守","ＨＰ全满时，受到的伤害会变少。"
"232","棱镜装甲","受到效果绝佳的攻击时，可以减弱其威力。"
"233","脑核之力","效果绝佳的攻击，威力会变得更强。"
"234","不挠之剑","出场时，攻击会提高。"
"235","不屈之盾","出场时，防御会提高。"
"236","自由者","变为与自己使出的招式相同的属性。"
"237","捡球","没有携带道具时，会拾取第１个投出后捕捉失败的精灵球。"
"238","棉絮","受到攻击后撒下棉絮，降低除自己以外的所有宝可梦的速度。"
"239","螺旋尾鳍","能无视具有吸引对手招式效果的特性或招式的影响。"
"240","镜甲","只反弹自己受到的能力降低效果。"
"241","一口导弹","冲浪或潜水时会叼来猎物。受到伤害时，会吐出猎物进行攻击。"
"242","坚毅","能无视具有吸引对手招式效果的特性或招式的影响。"
"243","蒸汽机","受到水属性或火属性的招式攻击时，速度会巨幅提高。"
"244","庞克摇滚","声音招式的威力会提高。受到的声音招式伤害会减半。"
"245","吐沙","受到攻击时，会刮起沙暴。"
"246","冰鳞粉","由于有冰鳞粉的守护，受到的特殊攻击伤害会减半。"
"247","熟成","使树果成熟，效果变为２倍。"
"248","结冻头","头部的冰会代替自己承受物理攻击，但是样子会改变。下冰雹时，冰会恢复原状。"
"249","能量点","只要处在相邻位置，招式的威力就会提高。"
"250","拟态","宝可梦的属性会根据场地的状态而变化。"
"251","除障","出场时，敌方和我方的光墙、反射壁和极光幕的效果会消失。"
"252","钢之意志","我方的钢属性攻击威力会提高。"
"253","灭亡之躯","受到接触类招式攻击时，双方都会在３回合后变为濒死状态。替换后效果消失。"
"254","游魂","与使用接触类招式攻击自己的宝可梦互换特性。"
"255","一猩一意","虽然攻击会提高，但是只能使出一开始所选的招式。"
"256","化学变化气体","特性为化学变化气体的宝可梦在场时，场上所有宝可梦的特性效果都会消失或者无法生效。"
"257","粉彩护幕","自己和同伴都不会陷入中毒的异常状态。"
"258","饱了又饿","每回合结束时会在满腹花纹与空腹花纹之间交替改变样子。"
"259","速击","有时能比对手先一步行动。"
"260","无形拳","如果使出的是接触到对手的招式，就可以无视守护效果进行攻击。"
"261","怪药","出场时会从贝壳撒药，将我方的能力变化复原。"
"262","电晶体","电属性的招式威力会提高。"
"263","龙颚","龙属性的招式威力会提高。"
"264","苍白嘶鸣","打倒对手时会用冰冷的声音嘶鸣并提高攻击。"
"265","漆黑嘶鸣","打倒对手时会用恐怖的声音嘶鸣并提高特攻。"
"266","人马一体","兼备蕾冠王的紧张感和雪暴马的苍白嘶鸣这两种特性。"
"267","人马一体","兼备蕾冠王的紧张感和灵幽马的漆黑嘶鸣这两种特性。"
