"dex_number","name","jp_name","en_name","form_name","height","weight","type_1","type_2","body","catch_rate","specie","ability_1","ability_2","ability_hidden","ev_hp","ev_attack","ev_defence","ev_special_attack","ev_special_defence","ev_speed","exp_yield","exp_yield_gen_5","exp_lv_100","egg_group_1","egg_group_2","egg_cycle","hp","attack","defence","special_attack","special_defence","speed"
6,"喷火龙","リザードン","Charizard","超极巨化的样子","28.0~??.?","???.?","FIRE","FLYING","DUAL_FOOTS_MONSTER","45","火焰","猛火","","太阳之力",0,0,0,3,0,0,"209","",1059860,"MONSTER","DRAGON","20",78,84,78,85,85,100,"6#喷火龙#超极巨化的样子#"
7,"杰尼龟","ゼニガメ","Squirtle","","0.5","9.0","WATER","","DUAL_FOOTS_MONSTER","45","小龟","激流","","雨盘",0,0,1,0,0,0,"66","63",1059860,"MONSTER","WATER_1","20",44,48,65,50,64,43,"7#杰尼龟#"
8,"卡咪龟","カメール","Wartortle","","1.0","22.5","WATER","","DUAL_FOOTS_MONSTER","45","龟","激流","","雨盘",0,0,1,0,1,0,"143","142",1059860,"MONSTER","WATER_1","20",59,63,80,65,80,58,"8#卡咪龟#"
9,"水箭龟","カメックス","Blastoise","水箭龟","1.6","85.5","WATER","","DUAL_FOOTS_MONSTER","45","甲壳","激流","","雨盘",0,0,0,0,3,0,"210","239",1059860,"MONSTER","WATER_1","20",79,83,100,85,105,78,"9#水箭龟#水箭龟#"
9,"水箭龟","カメックス","Blastoise","超级水箭龟","1.6","101.1","WATER","","DUAL_FOOTS_MONSTER","45","甲壳","超级发射器","","",0,0,0,0,3,0,"","284",1059860,"MONSTER","WATER_1","20",79,103,120,135,115,78,"9#水箭龟#超级水箭龟#"
9,"水箭龟","カメックス","Blastoise","超极巨化的样子","25.0~??.?","???.?","WATER","","DUAL_FOOTS_MONSTER","45","甲壳","激流","","雨盘",0,0,0,0,3,0,"210","",1059860,"MONSTER","WATER_1","20",79,83,100,85,105,78,"9#水箭龟#超极巨化的样子#"
10,"绿毛虫","キャタピー","Caterpie","","0.3","2.9","BUG","","BUG","255","虫宝宝","鳞粉","","逃跑",1,0,0,0,0,0,"53","39",1000000,"BUG","","15",45,30,35,20,20,45,"10#绿毛虫#"
11,"铁甲蛹","トランセル","Metapod","","0.7","9.9","BUG","","SNAKE","120","蛹","蜕皮","","",0,0,2,0,0,0,"72","72",1000000,"BUG","","15",50,20,55,25,25,30,"11#铁甲蛹#"
12,"巴大蝶","バタフリー","Butterfree","巴大蝶","1.1","32.0","BUG","FLYING","MULTI_WINGS","45","蝴蝶","复眼","","有色眼镜",0,0,0,2,1,0,"160","178",1000000,"BUG","","15",60,45,50,90,80,70,"12#巴大蝶#巴大蝶#"
12,"巴大蝶","バタフリー","Butterfree","超极巨化的样子","17.0~??.?","???.?","BUG","FLYING","MULTI_WINGS","45","蝴蝶","复眼","","有色眼镜",0,0,0,2,1,0,"160","",1000000,"BUG","","15",60,45,50,90,80,70,"12#巴大蝶#超极巨化的样子#"
13,"独角虫","ビードル","Weedle","","0.3","3.2","BUG","POISON","BUG","255","毛毛虫","鳞粉","","逃跑",0,0,0,0,0,1,"52","39",1000000,"BUG","","15",40,35,30,20,20,50,"13#独角虫#"
14,"铁壳蛹","コクーン","Kakuna","","0.6","10.0","BUG","POISON","SNAKE","120","蛹","蜕皮","","",0,0,2,0,0,0,"71","72",1000000,"BUG","","15",45,25,50,25,25,35,"14#铁壳蛹#"
15,"大针蜂","スピアー","Beedrill","大针蜂","1.0","29.5","BUG","POISON","MULTI_WINGS","45","毒蜂","虫之预感","","狙击手",0,2,0,0,1,0,"159","178",1000000,"BUG","","15",65,90,40,45,80,75,"15#大针蜂#大针蜂#"
15,"大针蜂","スピアー","Beedrill","超级大针蜂","1.4","40.5","BUG","POISON","MULTI_WINGS","45","毒蜂","适应力","","",0,2,0,0,1,0,"","223",1000000,"BUG","","15",65,150,40,15,80,145,"15#大针蜂#超级大针蜂#"
16,"波波","ポッポ","Pidgey","","0.3","1.8","NORMAL","FLYING","DUAL_WINGS","255","小鸟","锐利目光","蹒跚","健壮胸肌",0,0,0,0,0,1,"55","50",1059860,"FLYING","","15",40,45,40,35,35,56,"16#波波#"
17,"比比鸟","ピジョン","Pidgeotto","","1.1","30.0","NORMAL","FLYING","DUAL_WINGS","120","鸟","锐利目光","蹒跚","健壮胸肌",0,0,0,0,0,2,"113","122",1059860,"FLYING","","15",63,60,55,50,50,71,"17#比比鸟#"
18,"大比鸟","ピジョット","Pidgeot","大比鸟","1.5","39.5","NORMAL","FLYING","DUAL_WINGS","45","鸟","锐利目光","蹒跚","健壮胸肌",0,0,0,0,0,3,"172","216",1059860,"FLYING","","15",83,80,75,70,70,101,"18#大比鸟#大比鸟#"
18,"大比鸟","ピジョット","Pidgeot","超级大比鸟","2.2","50.5","NORMAL","FLYING","DUAL_WINGS","45","鸟","无防守","","",0,0,0,0,0,3,"","261",1059860,"FLYING","","15",83,80,80,135,80,121,"18#大比鸟#超级大比鸟#"
19,"小拉达","コラッタ","Rattata","小拉达","0.3","3.5","NORMAL","","QUADRUPLE_FOOTS_MONSTER","255","鼠","逃跑","毅力","活力",0,0,0,0,0,1,"57","51",1000000,"FIELD","","15",30,56,35,25,35,72,"19#小拉达#小拉达#"
19,"小拉达","コラッタ","Rattata","阿罗拉小拉达","0.3","3.8","DARK","NORMAL","QUADRUPLE_FOOTS_MONSTER","255","鼠","贪吃鬼","活力","厚脂肪",0,0,0,0,0,1,"","",1000000,"FIELD","","15",30,56,35,25,35,72,"19#小拉达#阿罗拉小拉达#"
20,"拉达","ラッタ","Raticate","拉达","0.7","18.5","NORMAL","","QUADRUPLE_FOOTS_MONSTER","127","鼠","逃跑","毅力","活力",0,0,0,0,0,2,"116","145",1000000,"FIELD","","15",55,81,60,50,70,97,"20#拉达#拉达#"
20,"拉达","ラッタ","Raticate","阿罗拉拉达","0.7","25.5","DARK","NORMAL","QUADRUPLE_FOOTS_MONSTER","127","鼠","贪吃鬼","活力","厚脂肪",0,0,0,0,0,2,"","",1000000,"FIELD","","15",75,71,70,40,80,77,"20#拉达#阿罗拉拉达#"
21,"烈雀","オニスズメ","Spearow","","0.3","2.0","NORMAL","FLYING","DUAL_WINGS","255","小鸟","锐利目光","","狙击手",0,0,0,0,0,1,"58","52",1000000,"FLYING","","15",40,60,30,31,31,70,"21#烈雀#"
22,"大嘴雀","オニドリル","Fearow","","1.2","38.0","NORMAL","FLYING","DUAL_WINGS","90","鸟嘴","锐利目光","","狙击手",0,0,0,0,0,2,"162","155",1000000,"FLYING","","15",65,90,65,61,61,100,"22#大嘴雀#"
23,"阿柏蛇","アーボ","Ekans","","2.0","6.9","POISON","","SNAKE","255","蛇","威吓","蜕皮","紧张感",0,1,0,0,0,0,"62","58",1000000,"FIELD","DRAGON","20",35,60,44,40,54,55,"23#阿柏蛇#"
24,"阿柏怪","アーボック","Arbok","","3.5","65.0","POISON","","SNAKE","90","眼镜蛇","威吓","蜕皮","紧张感",0,2,0,0,0,0,"147","157",1000000,"FIELD","DRAGON","20",60,95,69,65,79,80,"24#阿柏怪#"
25,"皮卡丘","ピカチュウ","Pikachu","皮卡丘","0.4","6.0","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","190","鼠","静电","","避雷针",0,0,0,0,0,2,"82","112",1000000,"FIELD","FAIRY","10",35,55,40,50,50,90,"25#皮卡丘#皮卡丘#"
25,"皮卡丘","ピカチュウ","Pikachu","换装皮卡丘","0.4","6.0","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","190","鼠","避雷针","","",0,0,0,0,0,2,"82","",1000000,"UNDISCOVERED","","10",35,55,40,50,50,90,"25#皮卡丘#换装皮卡丘#"
25,"皮卡丘","ピカチュウ","Pikachu","戴着帽子的皮卡丘","0.4","6.0","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","190","鼠","静电","","避雷针",0,0,0,0,0,2,"82","",1000000,"UNDISCOVERED","","10",35,55,40,50,50,90,"25#皮卡丘#戴着帽子的皮卡丘#"
25,"皮卡丘","ピカチュウ","Pikachu","超极巨化的样子","21.0~??.?","???.?","ELECTRIC","","QUADRUPLE_FOOTS_MONSTER","190","鼠","静电","","避雷针",0,0,0,0,0,2,"82","",1000000,"FIELD","FAIRY","10",35,55,40,50,50,90,"25#皮卡丘#超极巨化的样子#"
26,"雷丘","ライチュウ","Raichu","雷丘","0.8","30.0","ELECTRIC","","DUAL_FOOTS_MONSTER","75","鼠","静电","","避雷针",0,0,0,0,0,3,"122","218",1000000,"FIELD","FAIRY","10",60,90,55,90,80,110,"26#雷丘#雷丘#"
26,"雷丘","ライチュウ","Raichu","阿罗拉雷丘","0.7","21.0","ELECTRIC","PSYCHIC","DUAL_FOOTS_MONSTER","75","鼠","冲浪之尾","","",0,0,0,0,0,3,"","",1000000,"FIELD","FAIRY","10",60,85,50,95,85,110,"26#雷丘#阿罗拉雷丘#"
27,"穿山鼠","サンド","Sandshrew","穿山鼠","0.6","12.0","GROUND","","DUAL_FOOTS_MONSTER","255","鼠","沙隐","","拨沙",0,0,1,0,0,0,"93","60",1000000,"FIELD","","20",50,75,85,30,30,40,"27#穿山鼠#穿山鼠#"
27,"穿山鼠","サンド","Sandshrew","阿罗拉穿山鼠","0.7","40.0","ICE","STEEL","DUAL_FOOTS_MONSTER","255","鼠","雪隐","","拨雪",0,0,1,0,0,0,"","",1000000,"FIELD","","20",50,75,90,10,35,40,"27#穿山鼠#阿罗拉穿山鼠#"
28,"穿山王","サンドパン","Sandslash","穿山王","1.0","29.5","GROUND","","DUAL_FOOTS_MONSTER","90","鼠","沙隐","","拨沙",0,0,2,0,0,0,"163","158",1000000,"FIELD","","20",75,100,110,55,55,65,"28#穿山王#穿山王#"
28,"穿山王","サンドパン","Sandslash","阿罗拉穿山王","1.2","55.0","ICE","STEEL","DUAL_FOOTS_MONSTER","90","鼠","雪隐","","拨雪",0,0,2,0,0,0,"","",1000000,"FIELD","","20",75,100,120,25,65,65,"28#穿山王#阿罗拉穿山王#"
29,"尼多兰","ニドラン♀","Nidoran♀","","0.4","7.0","POISON","","QUADRUPLE_FOOTS_MONSTER","235","毒针","毒刺","斗争心","活力",1,0,0,0,0,0,"59","55",1059860,"MONSTER","FIELD","20",55,47,52,40,40,41,"29#尼多兰#"
30,"尼多娜","ニドリーナ","Nidorina","","0.8","20.0","POISON","","QUADRUPLE_FOOTS_MONSTER","120","毒针","毒刺","斗争心","活力",2,0,0,0,0,0,"117","128",1059860,"UNDISCOVERED","","20",70,62,67,55,55,56,"30#尼多娜#"
31,"尼多后","ニドクイン","Nidoqueen","","1.3","60.0","POISON","GROUND","DUAL_FOOTS_MONSTER","45","钻锥","毒刺","斗争心","强行",3,0,0,0,0,0,"194","227",1059860,"UNDISCOVERED","","20",90,92,87,75,85,76,"31#尼多后#"
32,"尼多朗","ニドラン♂","Nidoran♂","","0.5","9.0","POISON","","QUADRUPLE_FOOTS_MONSTER","235","毒针","毒刺","斗争心","活力",0,1,0,0,0,0,"60","55",1059860,"MONSTER","FIELD","20",46,57,40,40,40,50,"32#尼多朗#"
33,"尼多力诺","ニドリーノ","Nidorino","","0.9","19.5","POISON","","QUADRUPLE_FOOTS_MONSTER","120","毒针","毒刺","斗争心","活力",0,2,0,0,0,0,"118","128",1059860,"MONSTER","FIELD","20",61,72,57,55,55,65,"33#尼多力诺#"
34,"尼多王","ニドキング","Nidoking","","1.4","62.0","POISON","GROUND","DUAL_FOOTS_MONSTER","45","钻锥","毒刺","斗争心","强行",0,3,0,0,0,0,"195","227",1059860,"MONSTER","FIELD","20",81,102,77,85,75,85,"34#尼多王#"
35,"皮皮","ピッピ","Clefairy","","0.6","7.5","FAIRY","","DUAL_FOOTS_MONSTER","150","妖精","迷人之躯","魔法防守","友情防守",2,0,0,0,0,0,"68","113",800000,"FAIRY","","10",70,45,48,60,65,35,"35#皮皮#"
36,"皮可西","ピクシー","Clefable","","1.3","40.0","FAIRY","","DUAL_FOOTS_MONSTER","25","妖精","迷人之躯","魔法防守","纯朴",3,0,0,0,0,0,"129","217",800000,"FAIRY","","10",95,70,73,95,90,60,"36#皮可西#"
37,"六尾","ロコン","Vulpix","六尾","0.6","9.9","FIRE","","QUADRUPLE_FOOTS_MONSTER","190","狐狸","引火","","日照",0,0,0,0,0,1,"63","60",1000000,"FIELD","","20",38,41,40,65,65,65,"37#六尾#六尾#"
37,"六尾","ロコン","Vulpix","阿罗拉六尾","0.6","9.9","ICE","","QUADRUPLE_FOOTS_MONSTER","190","狐狸","雪隐","","降雪",0,0,0,0,0,1,"","",1000000,"FIELD","","20",38,41,40,65,65,65,"37#六尾#阿罗拉六尾#"
38,"九尾","キュウコン","Ninetales","九尾","1.1","19.9","FIRE","","QUADRUPLE_FOOTS_MONSTER","75","狐狸","引火","","日照",0,0,0,0,1,1,"178","177",1000000,"FIELD","","20",73,76,75,100,100,100,"38#九尾#九尾#"
38,"九尾","キュウコン","Ninetales","阿罗拉九尾","1.1","19.9","ICE","FAIRY","QUADRUPLE_FOOTS_MONSTER","75","狐狸","雪隐","","降雪",0,0,0,0,1,1,"","",1000000,"FIELD","","20",73,67,75,81,100,109,"38#九尾#阿罗拉九尾#"
39,"胖丁","プリン","Jigglypuff","","0.5","5.5","NORMAL","FAIRY","HUMAN","170","气球","迷人之躯","好胜","友情防守",2,0,0,0,0,0,"76","95",800000,"FAIRY","","10",115,45,20,25,25,20,"39#胖丁#"
40,"胖可丁","プクリン","Wigglytuff","","1.0","12.0","NORMAL","FAIRY","HUMAN","50","气球","迷人之躯","好胜","察觉",3,0,0,0,0,0,"109","196",800000,"FAIRY","","10",140,70,45,85,50,45,"40#胖可丁#"
41,"超音蝠","ズバット","Zubat","","0.8","7.5","POISON","FLYING","DUAL_WINGS","255","蝙蝠","精神力","","穿透",0,0,0,0,0,1,"54","49",1000000,"FLYING","","15",40,45,35,40,40,55,"41#超音蝠#"
42,"大嘴蝠","ゴルバット","Golbat","","1.6","55.0","POISON","FLYING","DUAL_WINGS","90","蝙蝠","精神力","","穿透",0,0,0,0,0,2,"171","159",1000000,"FLYING","","15",75,80,70,75,75,90,"42#大嘴蝠#"
43,"走路草","ナゾノクサ","Oddish","","0.5","5.4","GRASS","POISON","DUAL_LEGS","255","杂草","叶绿素","","逃跑",0,0,0,1,0,0,"78","64",1059860,"GRASS","","20",45,50,55,75,65,30,"43#走路草#"
44,"臭臭花","クサイハナ","Gloom","","0.8","8.6","GRASS","POISON","HUMAN","120","杂草","叶绿素","","恶臭",0,0,0,2,0,0,"132","138",1059860,"GRASS","","20",60,65,70,85,75,40,"44#臭臭花#"
45,"霸王花","ラフレシア","Vileplume","","1.2","18.6","GRASS","POISON","HUMAN","45","花","叶绿素","","孢子",0,0,0,3,0,0,"184","221",1059860,"GRASS","","20",75,80,85,110,90,50,"45#霸王花#"
46,"派拉斯","パラス","Paras","","0.3","5.4","BUG","GRASS","BUG","190","蘑菇","孢子","干燥皮肤","湿气",0,1,0,0,0,0,"70","57",1000000,"BUG","GRASS","20",35,70,55,55,55,25,"46#派拉斯#"
47,"派拉斯特","パラセクト","Parasect","","1.0","29.5","BUG","GRASS","BUG","75","蘑菇","孢子","干燥皮肤","湿气",0,2,1,0,0,0,"128","142",1000000,"BUG","GRASS","20",60,95,80,80,80,30,"47#派拉斯特#"
48,"毛球","コンパン","Venonat","","1.0","30.0","BUG","POISON","HUMAN","190","昆虫","复眼","有色眼镜","逃跑",0,0,0,0,1,0,"75","61",1000000,"BUG","","20",60,55,50,40,55,45,"48#毛球#"
49,"摩鲁蛾","モルフォン","Venomoth","","1.5","12.5","BUG","POISON","MULTI_WINGS","75","毒蛾","鳞粉","有色眼镜","奇迹皮肤",0,0,0,1,0,1,"138","158",1000000,"BUG","","20",70,65,60,90,75,90,"49#摩鲁蛾#"
50,"地鼠","ディグダ","Diglett","地鼠","0.2","0.8","GROUND","","PILLAR","255","鼹鼠","沙隐","沙穴","沙之力",0,0,0,0,0,1,"81","53",1000000,"FIELD","","20",10,55,25,45,45,95,"50#地鼠#地鼠#"
50,"地鼠","ディグダ","Diglett","阿罗拉地鼠","0.2","1.0","GROUND","STEEL","PILLAR","255","鼹鼠","沙隐","卷发","沙之力",0,0,0,0,0,1,"","",1000000,"FIELD","","20",10,55,30,35,45,90,"50#地鼠#阿罗拉地鼠#"
51,"三地鼠","ダグトリオ","Dugtrio","三地鼠","0.7","33.3","GROUND","","BUNDLE","50","鼹鼠","沙隐","沙穴","沙之力",0,0,0,0,0,2,"153","149",1000000,"FIELD","","20",35,100,50,50,70,120,"51#三地鼠#三地鼠#"
51,"三地鼠","ダグトリオ","Dugtrio","阿罗拉三地鼠","0.7","66.6","GROUND","STEEL","BUNDLE","50","鼹鼠","沙隐","卷发","沙之力",0,2,0,0,0,0,"","",1000000,"FIELD","","20",35,100,60,50,70,110,"51#三地鼠#阿罗拉三地鼠#"
52,"喵喵","ニャース","Meowth","喵喵","0.4","4.2","NORMAL","","QUADRUPLE_FOOTS_MONSTER","255","妖怪猫","捡拾","技术高手","紧张感",0,0,0,0,0,1,"69","58",1000000,"FIELD","","20",40,45,35,40,40,90,"52#喵喵#喵喵#"
52,"喵喵","ニャース","Meowth","阿罗拉喵喵","0.4","4.2","DARK","","QUADRUPLE_FOOTS_MONSTER","255","妖怪猫","捡拾","技术高手","胆怯",0,0,0,0,0,1,"","",1000000,"FIELD","","20",40,35,35,50,40,90,"52#喵喵#阿罗拉喵喵#"
52,"喵喵","ニャース","Meowth","伽勒尔喵喵","0.4","7.5","STEEL","","DUAL_FOOTS_MONSTER","255","妖怪猫","捡拾","硬爪","紧张感",0,1,0,0,0,0,"69","",1000000,"FIELD","","20",50,65,55,40,40,40,"52#喵喵#伽勒尔喵喵#"
52,"喵喵","ニャース","Meowth","超极巨化的样子","33.0~??.?","???.?","NORMAL","","QUADRUPLE_FOOTS_MONSTER","255","妖怪猫","捡拾","技术高手","紧张感",0,0,0,0,0,1,"69","",1000000,"FIELD","","20",40,45,35,40,40,90,"52#喵喵#超极巨化的样子#"
53,"猫老大","ペルシアン","Persian","猫老大","1.0","32.0","NORMAL","","QUADRUPLE_FOOTS_MONSTER","90","暹罗猫","柔软","技术高手","紧张感",0,0,0,0,0,2,"148","154",1000000,"FIELD","","20",65,70,60,65,65,115,"53#猫老大#猫老大#"
53,"猫老大","ペルシアン","Persian","阿罗拉猫老大","1.1","33.0","DARK","","QUADRUPLE_FOOTS_MONSTER","90","暹罗猫","毛皮大衣","技术高手","胆怯",0,0,0,0,0,2,"","",1000000,"FIELD","","20",65,60,60,75,65,115,"53#猫老大#阿罗拉猫老大#"
54,"可达鸭","コダック","Psyduck","","0.8","19.6","WATER","","DUAL_FOOTS_MONSTER","190","鸭","湿气","无关天气","悠游自如",0,0,0,1,0,0,"80","64",1000000,"WATER_1","FIELD","20",50,52,48,50,50,55,"54#可达鸭#"
55,"哥达鸭","ゴルダック","Golduck","","1.7","76.6","WATER","","DUAL_FOOTS_MONSTER","75","鸭","湿气","无关天气","悠游自如",0,0,0,2,0,0,"174","175",1000000,"WATER_1","FIELD","20",80,82,78,80,80,85,"55#哥达鸭#"
56,"猴怪","マンキー","Mankey","","0.5","28.0","FIGHT","","DUAL_FOOTS_MONSTER","190","猪猴","干劲","愤怒穴位","不服输",0,1,0,0,0,0,"74","61",1000000,"FIELD","","20",40,80,35,35,45,70,"56#猴怪#"
57,"火暴猴","オコリザル","Primeape","","1.0","32.0","FIGHT","","DUAL_FOOTS_MONSTER","75","猪猴","干劲","愤怒穴位","不服输",0,2,0,0,0,0,"149","159",1000000,"FIELD","","20",65,105,60,60,70,95,"57#火暴猴#"
58,"卡蒂狗","ガーディ","Growlithe","卡蒂狗","0.7","19.0","FIRE","","QUADRUPLE_FOOTS_MONSTER","190","小狗","威吓","引火","正义之心",0,1,0,0,0,0,"91","70",1250000,"FIELD","","20",55,70,45,50,50,60,"58#卡蒂狗#卡蒂狗#"
58,"卡蒂狗","ガーディ","Growlithe","洗翠卡蒂狗","0.8","22.7","FIRE","ROCK","QUADRUPLE_FOOTS_MONSTER","190","放哨","威吓","引火","正义之心",0,1,0,0,0,0,"91","",1250000,"FIELD","","20",60,75,45,65,50,55,"58#卡蒂狗#洗翠卡蒂狗#"
59,"风速狗","ウインディ","Arcanine","风速狗","1.9","155.0","FIRE","","QUADRUPLE_FOOTS_MONSTER","75","传说","威吓","引火","正义之心",0,2,0,0,0,0,"213","194",1250000,"FIELD","","20",90,110,80,80,80,95,"59#风速狗#风速狗#"
59,"风速狗","ウインディ","Arcanine","洗翠风速狗","2.0","168.0","FIRE","ROCK","QUADRUPLE_FOOTS_MONSTER","75","传说","威吓","引火","正义之心",0,2,0,0,0,0,"213","",1250000,"FIELD","","20",95,115,80,95,80,90,"59#风速狗#洗翠风速狗#"
60,"蚊香蝌蚪","ニョロモ","Poliwag","","0.6","12.4","WATER","","DUAL_LEGS","255","蝌蚪","储水","湿气","悠游自如",0,0,0,0,0,1,"77","60",1059860,"WATER_1","","20",40,50,40,40,40,90,"60#蚊香蝌蚪#"
61,"蚊香君","ニョロゾ","Poliwhirl","","1.0","20.0","WATER","","HUMAN","120","蝌蚪","储水","湿气","悠游自如",0,0,0,0,0,2,"131","135",1059860,"WATER_1","","20",65,65,65,50,50,90,"61#蚊香君#"
62,"蚊香泳士","ニョロボン","Poliwrath","","1.3","54.0","WATER","FIGHT","HUMAN","45","蝌蚪","储水","湿气","悠游自如",0,0,3,0,0,0,"185","230",1059860,"WATER_1","","20",90,95,95,70,90,70,"62#蚊香泳士#"
63,"凯西","ケーシィ","Abra","","0.9","19.5","PSYCHIC","","DUAL_FOOTS_MONSTER","200","念力","同步","精神力","魔法防守",0,0,0,1,0,0,"75","62",1059860,"HUMAN_LIKE","","20",25,20,15,105,55,90,"63#凯西#"
64,"勇基拉","ユンゲラー","Kadabra","","1.3","56.5","PSYCHIC","","DUAL_FOOTS_MONSTER","100","念力","同步","精神力","魔法防守",0,0,0,2,0,0,"145","140",1059860,"HUMAN_LIKE","","20",40,35,30,120,70,105,"64#勇基拉#"
65,"胡地","フーディン","Alakazam","胡地","1.5","48.0","PSYCHIC","","HUMAN","50","念力","同步","精神力","魔法防守",0,0,0,3,0,0,"186","225",1059860,"HUMAN_LIKE","","20",55,50,45,135,95,120,"65#胡地#胡地#"
65,"胡地","フーディン","Alakazam","超级胡地","1.2","48.0","PSYCHIC","","HUMAN","50","念力","复制","","",0,0,0,3,0,0,"","270",1059860,"HUMAN_LIKE","","20",55,50,65,175,95,150,"65#胡地#超级胡地#"
66,"腕力","ワンリキー","Machop","","0.8","19.5","FIGHT","","DUAL_FOOTS_MONSTER","180","怪力","毅力","无防守","不屈之心",0,1,0,0,0,0,"75","61",1059860,"HUMAN_LIKE","","20",70,80,50,35,35,35,"66#腕力#"
67,"豪力","ゴーリキー","Machoke","","1.5","70.5","FIGHT","","HUMAN","90","怪力","毅力","无防守","不屈之心",0,2,0,0,0,0,"146","142",1059860,"HUMAN_LIKE","","20",80,100,70,50,60,45,"67#豪力#"
68,"怪力","カイリキー","Machamp","怪力","1.6","130.0","FIGHT","","HUMAN","45","怪力","毅力","无防守","不屈之心",0,3,0,0,0,0,"193","227",1059860,"HUMAN_LIKE","","20",90,130,80,65,85,55,"68#怪力#怪力#"
68,"怪力","カイリキー","Machamp","超极巨化的样子","25.0~??.?","???.?","FIGHT","","HUMAN","45","怪力","毅力","无防守","不屈之心",0,3,0,0,0,0,"193","",1059860,"HUMAN_LIKE","","20",90,130,80,65,85,55,"68#怪力#超极巨化的样子#"
69,"喇叭芽","マダツボミ","Bellsprout","","0.7","4.0","GRASS","POISON","HUMAN","255","花","叶绿素","","贪吃鬼",0,1,0,0,0,0,"84","60",1059860,"GRASS","","20",50,75,35,70,30,40,"69#喇叭芽#"
70,"口呆花","ウツドン","Weepinbell","","1.0","6.4","GRASS","POISON","PILLAR","120","捕蝇","叶绿素","","贪吃鬼",0,2,0,0,0,0,"151","137",1059860,"GRASS","","20",65,90,50,85,45,55,"70#口呆花#"
71,"大食花","ウツボット","Victreebel","","1.7","15.5","GRASS","POISON","PILLAR","45","捕蝇","叶绿素","","贪吃鬼",0,3,0,0,0,0,"191","221",1059860,"GRASS","","20",80,105,65,100,70,70,"71#大食花#"
72,"玛瑙水母","メノクラゲ","Tentacool","","0.9","45.5","WATER","POISON","TENTACLE","190","水母","恒净之躯","污泥浆","雨盘",0,0,0,0,1,0,"105","67",1250000,"WATER_3","","20",40,40,35,100,100,70,"72#玛瑙水母#"
